Protein.IDs	avg log2 H/M	std log2 H/M	P-value	N log2 H/M	avg log2 I	Ratio.H.M.count.b1t1	Ratio.H.M.count.b1t2	Ratio.H.M.count.b1t3	Ratio.H.M.count.b2t1	Ratio.H.M.count.b2t2	Ratio.H.M.count.b2t3	Ratio.H.M.count.b3t1	Ratio.H.M.count.b3t2	Ratio.H.M.count.b3t3	Ratio.H.M.count.total
Neuroblast differentiation-associated protein AHNAK [AHNAK ...] [Q09666 ...]	0	0	1	9	33.60494	670	662	696	616	633	625	680	691	680	5953
Neutrophil defensin 1 [DEFA1 ...] [P59665 ...]	-0.796653333333334	0.139128609476987	0.011995	9	28.2035079830916	7	7	7	7	8	7	7	8	6	64
NF-kappa-B essential modulator [IKBKG ...] [Q9Y6K9-2 ...]	0.240276666666666	0.299584802184623	0.497357	9	27.499838904246	19	18	21	15	18	21	15	16	17	160
NF-kappa-B inhibitor zeta [NFKBIZ ...] [Q9BYH8 ...]	2.10802333333333	0.456356252833245	4.9e-05	9	27.9709461825223	6	6	11	12	13	13	7	7	5	80
NHP2-like protein 1 [NHP2L1 ...] [B1AHD1 ...]	-0.619693333333333	0.217556956220665	0.242052	9	25.489020848237	4	6	6	9	8	10	6	7	7	63
Non-POU domain-containing octamer-binding protein [NONO ...] [Q15233 ...]	0.684764444444444	0.118482572253382	0.041724	9	27.7988397520178	22	17	19	27	23	28	24	25	21	206
Non-specific lipid-transfer protein [SCP2 ...] [P22307 ...]	-0.45522	0.408102648300644	0.318122	9	25.4341441949308	7	7	5	9	8	6	6	5	7	60
NSFL1 cofactor p47 [NSFL1C ...] [Q9UNZ2-5 ...]	-0.261615555555555	0.539816491460549	0.74918	9	25.0444654349311	8	8	5	4	7	8	8	4	4	56
Nuclear autoantigen Sp-100 [SP100 ...] [P23497 ...]	-0.746765555555556	0.695112494189091	0.708043	9	25.26000678229	10	10	9	0	2	1	6	6	5	49
Nuclear autoantigenic sperm protein [NASP ...] [P49321-3 ...]	0.686195555555556	0.608258478467648	0.604566	9	23.2111899974955	5	2	4	1	1	1	2	4	3	23
Nuclear distribution protein nudE homolog 1 [NDE1 ...] [Q9NXR1 ...]	0.274125555555555	1.65616961233679	0.884034	9	25.5046687076372	7	5	3	6	7	6	8	6	2	50
Nuclear factor erythroid 2-related factor 2 [NFE2L2 ...] [Q16236 ...]	1.22932333333333	0.556671916033133	0.159845	9	23.9213831546153	3	3	2	1	1	1	1	2	2	16
Nuclear factor NF-kappa-B p100 subunit [NFKB2 ...] [Q00653 ...]	-0.233584285714285	0.792475615457813	0.948435	7	24.5318794425758	3	3	3	0	2	0	2	1	1	15
Nuclear factor NF-kappa-B p105 subunit [NFKB1 ...] [P19838-2 ...]	-0.421238888888889	1.06513094965413	0.532814	9	24.0259169984578	4	3	6	4	2	2	3	2	2	28
Nuclear fragile X mental retardation-interacting protein 2 [NUFIP2 ...] [Q7Z417 ...]	1.24778	0.965681415809582	0.332986	6	22.8810898211713	1	2	1	0	0	0	1	1	1	7
Nuclear mitotic apparatus protein 1 [NUMA1 ...] [Q14980 ...]	0.903666666666667	0.289798709322522	0.000749	9	28.7134476260055	63	75	73	53	54	57	60	60	58	553
Nuclear pore complex protein Nup98-Nup96 [NUP98 ...] [P52948 ...]	-0.528847777777778	0.238801673558717	0.732137	9	26.0536904887352	5	6	4	5	5	7	4	6	4	46
Nuclear receptor coactivator 2 [NCOA2 ...] [Q15596 ...]	0.49784	0.274467405077543	0.296588	9	23.6257980516612	1	1	1	2	2	3	2	2	2	16
Nuclear receptor coactivator 3 [NCOA3 ...] [Q9Y6Q9 ...]	-0.0299977777777782	0.373763172302254	0.989287	9	25.023809963154	3	4	2	10	8	6	3	6	5	47
Nuclear receptor corepressor 1 [NCOR1 ...] [O75376 ...]	-0.927726666666667	0.565838622245778	0.094842	9	26.1193860710589	12	13	12	12	8	13	13	12	11	106
Nuclear transcription factor Y subunit alpha [NFYA ...] [P23511 ...]	-0.643187777777778	0.355753587254499	0.210992	9	23.8162551781202	2	2	3	5	4	2	6	4	3	31
Nuclease-sensitive element-binding protein 1 [YBX1 ...] [P67809 ...]	-0.132613333333333	0.389513744109242	0.801789	9	26.8531448560185	13	13	11	15	11	11	14	10	12	110
Nucleobindin-1 [NUCB1 ...] [Q02818 ...]	0.435395555555555	0.212982456091523	0.487297	9	27.1954630804371	15	8	11	7	6	5	11	11	12	86
Nucleobindin-2 [NUCB2 ...] [P80303 ...]	0.849231666666667	0.463912278924224	0.377262	6	21.3472517891544	1	1	2	0	0	0	1	1	2	8
Nucleolin [NCL ...] [P19338 ...]	-1.69127444444444	0.719587542400352	0.025347	9	28.8752793144112	44	42	44	24	24	21	26	25	25	275
Nucleophosmin [NPM1 ...] [P06748 ...]	-0.131556666666666	0.370903241931099	0.769491	9	28.3931857365544	47	48	47	19	22	22	29	27	31	292
Nucleoprotein TPR [TPR ...] [P12270 ...]	0.410701111111111	0.356763528035184	0.513774	9	28.7418800268345	80	80	90	38	44	33	71	75	71	582
Nucleoside diphosphate kinase [NME1-NME2 ...] [Q32Q12 ...]	0.21712	0.638765521416114	0.769791	9	25.139189197265	4	3	6	7	10	10	6	4	5	55
Nucleosome assembly protein 1-like 1 [NAP1L1 ...] [P55209 ...]	-0.271015714285714	0.528930173836999	0.665136	7	23.8109614365124	3	2	3	0	2	2	0	1	1	14
Optineurin [OPTN ...] [Q96CV9 ...]	-0.399043333333334	0.504884072931599	0.488896	9	27.6132520243516	28	27	20	15	16	15	22	22	23	188
Osteoclast-stimulating factor 1 [OSTF1 ...] [Q92882 ...]	-0.575103333333334	0.617302068824494	0.390492	9	25.1317976996904	10	7	8	3	5	4	5	6	6	54
OTU domain-containing protein 5 [OTUD5 ...] [Q96G74 ...]	0.227191428571429	0.45359878965993	0.79889	7	22.9898497236967	3	3	3	1	0	0	2	2	2	16
Pancreatic progenitor cell differentiation and proliferation factor [PPDPF ...] [Q9H3Y8 ...]	-1.30028333333333	0.337528378698246	0.00361	6	23.5467419102938	2	2	2	3	1	0	0	0	1	11
Paraspeckle component 1 [PSPC1 ...] [Q8WXF1 ...]	1.02982222222222	0.173719227115034	0.007353	9	27.0564418595591	16	14	15	16	12	15	20	16	15	139
PC4 and SFRS1-interacting protein [PSIP1 ...] [O75475 ...]	-0.890435555555556	0.474317925027906	0.035444	9	27.4840261220077	16	20	17	20	16	16	16	16	15	152
PDZ and LIM domain protein 5 [PDLIM5 ...] [Q96HC4 ...]	0.456472222222222	1.37870525812062	0.74918	9	23.7765219513991	3	3	2	3	5	2	2	3	3	26
Peptidyl-prolyl cis-trans isomerase A [PPIA ...] [P62937 ...]	-0.320383333333333	0.51847847375759	0.417392	9	30.3723111437087	47	56	51	44	49	52	51	51	52	453
Peptidyl-prolyl cis-trans isomerase F, mitochondrial [PPIF ...] [P30405 ...]	-0.749211111111111	0.404422664252525	0.324507	9	24.1126312879184	3	1	2	5	5	3	5	5	4	33
Peptidyl-prolyl cis-trans isomerase FKBP1A [FKBP1A ...] [P62942 ...]	-0.343005555555556	0.448988018273069	0.488896	9	25.3496989961977	4	3	2	5	6	6	3	5	3	37
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 [PIN4 ...] [Q9Y237-2 ...]	0.0490488888888889	0.469572936705377	0.938999	9	24.7677205064605	2	4	4	6	6	7	4	5	5	43
Pericentriolar material 1 protein [PCM1 ...] [Q15154 ...]	0.866504444444445	0.547766008280705	0.284301	9	23.8734330553878	3	4	2	1	1	1	1	3	1	17
Peroxiredoxin-1 [PRDX1 ...] [Q06830 ...]	0.562273333333334	0.221415838920797	0.120663	9	28.0740857805912	21	16	23	21	19	21	21	20	22	184
Peroxiredoxin-2 [PRDX2 ...] [P32119 ...]	-0.192873333333332	0.605380917171163	0.761233	9	25.0607208057458	5	8	9	6	6	5	4	8	7	58
Peroxiredoxin-6 [PRDX6 ...] [P30041 ...]	-0.693655555555556	0.548499008046302	0.119341	9	25.9282379393534	9	11	10	8	9	9	11	8	9	84
PERQ amino acid-rich with GYF domain-containing protein 1 [GIGYF1 ...] [O75420 ...]	0.62879125	1.23196968797865	0.716366	8	21.4317392516348	3	1	2	1	2	1	1	1	0	12
PERQ amino acid-rich with GYF domain-containing protein 2 [GIGYF2 ...] [I1E4Y6 ...]	1.37330888888889	0.80304258787197	0.121716	9	23.8268127231806	4	3	2	5	4	6	3	2	1	30
Phosphoglycerate kinase 1 [PGK1 ...] [P00558 ...]	-0.437337777777777	0.390098565678527	0.219929	9	27.3588950276106	21	24	24	25	26	28	23	25	26	222
Phosphoglycerate mutase 1 [PGAM1 ...] [P18669 ...]	-1.52239777777778	0.65872084749114	0.003958	9	26.9434897659355	5	6	8	6	10	9	8	5	6	63
Plasma cell-induced resident endoplasmic reticulum protein [PACAP ...] [Q8WU39 ...]	-1.62619777777778	0.691028271613721	0.004316	9	25.4681123522591	7	8	8	5	5	6	6	8	9	62
Plasminogen activator inhibitor 1 RNA-binding protein [SERBP1 ...] [Q8NC51 ...]	0.509371111111112	0.914479466642696	0.5682	9	26.6392687599437	18	18	14	23	18	14	17	19	14	155
Plastin-2 [LCP1 ...] [P13796 ...]	-0.599115555555556	0.249223784935904	0.025673	9	29.0624157598171	57	55	58	37	38	47	38	49	42	421
Platelet-activating factor acetylhydrolase IB subunit beta [PAFAH1B2 ...] [P68402 ...]	1.42745222222222	1.25726231593468	0.165127	9	24.5831066175169	3	2	5	1	2	1	4	3	2	23
Plectin [PLEC ...] [Q15149 ...]	0.171427777777778	0.491206226441038	0.789074	9	28.0967207095294	78	77	82	37	25	31	47	48	55	480
Poly(rC)-binding protein 1 [PCBP1 ...] [Q15365 ...]	-1.45305222222222	0.2766747163086	1e-06	9	29.5276510393085	46	40	33	38	35	32	38	33	29	324
Polyadenylate-binding protein 1 [PABPC1 ...] [P11940 ...]	1.47477222222222	0.256502701242003	0.000141	9	30.3289972996468	64	60	58	75	76	76	60	59	61	589
Polyadenylate-binding protein 2 [PABPN1 ...] [Q86U42 ...]	-1.40445888888889	0.601468019566386	0.051155	9	26.0875266716928	7	8	6	4	6	6	8	5	6	56
Polyadenylate-binding protein 4 [PABPC4 ...] [Q13310-3 ...]	-1.33655	1.96270984472362	0.412232	9	23.9315411337188	4	2	3	2	3	2	1	1	2	20
Polypyrimidine tract-binding protein 1 [PTBP1 ...] [P26599-3 ...]	-0.114424444444444	0.553666904625676	0.873346	9	26.0723008554302	9	12	13	10	17	15	14	10	12	112
Pre-mRNA-splicing factor CWC25 homolog [CWC25 ...] [Q9NXE8 ...]	1.48733555555556	0.58314572216366	0.377933	9	23.8925814839167	2	2	1	2	7	6	6	2	0	28
Pre-mRNA-splicing factor ISY1 homolog [ISY1 ...] [Q9ULR0-1 ...]	-0.11226	1.84707629208974	0.948435	6	22.3683662013504	2	2	1	0	0	0	2	3	1	11
Pre-mRNA-splicing factor SPF27 [BCAS2 ...] [O75934 ...]	1.49821	0.529234655847479	0.025748	9	25.3875138113785	6	4	3	6	4	5	7	3	3	41
Pre-mRNA-splicing factor SYF2 [SYF2 ...] [O95926 ...]	0.516058888888889	0.201544025366943	0.318293	9	26.4012283930468	6	4	6	11	10	11	6	4	4	62
Pre-mRNA-splicing regulator WTAP [WTAP ...] [Q15007 ...]	-0.503693333333334	0.445648159959177	0.494742	9	25.6610286485137	9	10	10	3	4	6	9	8	10	69
pre-mRNA 3 end processing protein WDR33 [WDR33 ...] [Q9C0J8 ...]	0.963384444444445	0.474157955936392	0.652359	9	23.5049750008423	1	2	1	5	3	3	1	4	1	21
Prefoldin subunit 1 [PFDN1 ...] [O60925 ...]	0.0218100000000001	0.190809081544878	0.957344	9	25.9021925762066	3	5	5	4	5	4	4	4	4	38
Prefoldin subunit 2 [PFDN2 ...] [Q9UHV9 ...]	-1.02423888888889	0.230209536316616	0.004256	9	26.9390312360076	5	7	7	8	8	8	6	6	7	62
Prefoldin subunit 4 [PFDN4 ...] [Q9NQP4 ...]	0.815507777777778	1.05210388123961	0.497413	9	24.1398378119068	2	2	3	2	2	2	3	5	3	24
Prefoldin subunit 5 [PFDN5 ...] [Q99471 ...]	1.35990111111111	1.73125756378452	0.242916	9	25.851697764615	5	4	6	7	7	9	5	6	7	56
Prelamin-A/C [LMNA ...] [P02545 ...]	-0.775912222222222	0.189548245361029	0.004829	9	28.8232601138792	39	38	37	31	35	33	34	33	38	318
PRKR-interacting protein 1 [PRKRIP1 ...] [Q9H875 ...]	-1.99574625	1.33907871340109	0.260762	8	23.157003008832	2	1	2	2	1	0	0	2	0	10
Pro-interleukin-16 [IL16 ...] [Q14005 ...]	-0.363212222222222	0.351740145305373	0.263824	9	28.0444085738188	34	36	36	37	30	30	31	34	34	302
Proactivator polypeptide [PSAP ...] [B1AVU8 ...]	-0.835235555555556	0.360292216301959	0.020301	9	26.611369152187	13	9	9	11	9	8	13	8	9	89
Probable ATP-dependent RNA helicase DDX17 [DDX17 ...] [H3BLZ8 ...]	1.30785	0.451571508235407	0.003351	9	27.8616467266306	17	19	19	18	22	28	19	14	18	174
Probable ATP-dependent RNA helicase DDX5 [DDX5 ...] [P17844 ...]	1.86305777777778	0.084900791041335	7e-06	9	28.52986214523	19	13	16	27	22	23	16	15	15	166
Probable ATP-dependent RNA helicase DDX6 [DDX6 ...] [P26196 ...]	-0.015505714285714	0.52195036015114	0.993174	7	22.3915102153945	1	0	1	3	0	1	2	2	1	11
Probable global transcription activator SNF2L2 [SMARCA2 ...] [P51531 ...]	-2.24162666666667	2.21042794481069	0.262646	9	24.6847372980633	3	2	4	1	1	2	2	2	2	19
Probable JmjC domain-containing histone demethylation protein 2C [JMJD1C ...] [Q15652 ...]	3.56565333333333	1.80842871109839	0.06486	9	25.1254417998219	1	1	1	1	4	3	1	1	3	16
Profilin-1 [PFN1 ...] [P07737 ...]	-1.33042222222222	0.284661699863969	0.001865	9	30.7760414613429	47	54	51	61	59	54	44	50	54	474
Programmed cell death protein 4 [PDCD4 ...] [Q53EL6 ...]	0.119477777777778	0.597576235194679	0.927063	9	25.55684118944	5	8	11	5	4	5	5	6	7	56
Programmed cell death protein 5 [PDCD5 ...] [O14737 ...]	-0.116802222222223	0.514857187426227	0.848954	9	25.2652586867408	7	5	4	5	6	7	6	7	4	51
Proteasomal ubiquitin receptor ADRM1 [ADRM1 ...] [Q16186 ...]	-0.159931111111111	0.308333050671042	0.784434	9	23.4465414206617	1	1	2	2	2	1	2	1	3	15
Proteasome activator complex subunit 1 [PSME1 ...] [Q06323 ...]	-0.488808888888889	0.211537429515703	0.029691	9	27.8797671600968	23	26	29	21	23	26	22	19	19	208
Proteasome activator complex subunit 2 [PSME2 ...] [Q9UL46 ...]	0.0307933333333329	0.641666440606021	0.941829	9	27.8324857623656	36	39	28	29	28	26	32	32	30	280
Proteasome maturation protein [POMP ...] [Q9Y244 ...]	1.11434333333333	0.148871451091202	0.007827	9	25.8836674758294	3	3	4	5	5	5	3	2	3	33
Proteasome subunit beta type-8 [PSMB8 ...] [P28062 ...]	-0.930524444444444	1.83934655141514	0.769791	9	25.6435804783046	1	4	2	3	2	2	3	3	3	23
Protein C-ets-1 [ETS1 ...] [P14921 ...]	-0.3368625	0.883859674314069	0.732367	8	22.1958108249939	1	2	1	1	0	0	1	1	2	9
Protein C10 [C12orf57 ...] [Q99622 ...]	1.26096	0.209629201210137	0.000254	9	26.194627212373	5	7	7	10	8	9	5	6	6	63
Protein CDV3 homolog [CDV3 ...] [Q9UKY7 ...]	-0.661372222222222	1.03220140368508	0.397577	9	27.4260920964299	8	9	9	12	13	13	9	12	12	97
Protein CWC15 homolog [CWC15 ...] [Q9P013 ...]	-0.125239999999999	1.10987833767941	0.932379	9	25.5095845227227	6	7	5	2	2	1	4	6	6	39
Protein disulfide-isomerase A3 [PDIA3 ...] [P30101 ...]	-1.38494444444444	0.696003921973704	0.035501	9	27.9576157927074	24	24	22	21	23	21	22	23	23	203
Protein DJ-1 [PARK7 ...] [Q99497 ...]	-0.175653333333333	0.366127052128084	0.725035	9	28.7827118233314	34	41	39	30	30	31	32	37	33	307
Protein Dr1 [DR1 ...] [Q01658 ...]	-0.30913	1.00181577028913	0.660787	9	25.4382087258577	8	7	8	8	6	7	7	6	9	66
Protein FAM107B [FAM107B ...] [Q9H098-2 ...]	0.0995233333333335	0.184554794641049	0.842817	9	26.5081195025141	7	6	8	11	11	11	9	9	10	82
Protein FAM168A [FAM168A ...] [Q92567 ...]	1.53830333333333	0.605062658926055	0.003453	6	22.7710498969727	0	0	1	2	2	0	1	1	1	8
Protein FAM168B [FAM168B ...] [A1KXE4 ...]	-0.233911428571429	0.552450563985249	0.548628	7	21.4212758085595	0	0	0	1	1	1	1	1	1	6
Protein FAM53B [FAM53B ...] [Q14153 ...]	-0.438821428571429	0.299728853156124	0.513774	7	21.4584047926367	1	1	0	2	0	1	2	2	3	12
Protein FAM65B [FAM65B ...] [Q9Y4F9 ...]	-1.25785666666667	0.356095026186831	0.06486	9	22.8886383302138	1	3	3	1	1	1	2	3	2	17
Protein fosB [FOSB ...] [P53539 ...]	3.88678222222222	0.681131883664568	8e-06	9	26.0935794390434	2	1	1	5	8	6	3	1	2	29
Protein HEXIM1 [HEXIM1 ...] [O94992 ...]	0.568858888888889	0.460083768960731	0.585163	9	24.8239673928674	8	8	8	1	5	3	6	8	8	55
Protein LBH [LBH ...] [Q53QV2 ...]	0.946373333333334	0.280019226750592	0.018782	9	24.9741876898095	1	1	1	1	1	1	2	2	1	11
Protein lin-7 homolog C [LIN7C ...] [Q9NUP9 ...]	1.07552333333333	0.754164026057992	0.028234	9	25.8894279419249	4	3	3	7	5	5	5	6	3	41
Protein max [MAX ...] [P61244 ...]	-0.90176111111111	0.485425895746314	0.320521	9	25.6030128676523	10	11	13	5	6	4	8	9	9	75
Protein NDRG1 [NDRG1 ...] [Q92597 ...]	0.106148888888889	0.566024049565133	0.912228	9	24.7351347733856	6	3	3	3	5	4	3	3	3	33
Protein phosphatase 1 regulatory subunit 14B [PPP1R14B ...] [Q96C90 ...]	-1.61670222222222	0.258684376643517	0.004587	9	24.7800829266026	2	2	1	2	2	4	4	3	3	23
Protein phosphatase inhibitor 2 [PPP1R2 ...] [P41236 ...]	-0.00254888888888871	0.398959233802291	0.995908	9	27.3042114647372	13	11	13	16	10	14	16	13	12	118
Protein PRRC2B [PRRC2B ...] [Q5JSZ5 ...]	0.523938888888889	0.3782801144471	0.572386	9	25.1709155121941	5	4	3	8	8	8	7	5	6	54
Protein PRRC2C [PRRC2C ...] [Q9Y520-7 ...]	0.255465555555556	0.213233901274581	0.479149	9	28.766576173093	53	39	52	48	51	51	48	49	40	431
Protein quaking [QKI ...] [Q96PU8 ...]	0.0969333333333332	0.228216497157852	0.820956	9	25.1697310147262	5	5	3	8	6	6	5	6	6	50
Protein Red [IK ...] [Q13123 ...]	0.881348888888889	0.449869109281924	0.143873	9	23.9002128681395	5	4	5	6	2	4	2	3	3	34
Protein S100-A10 [S100A10 ...] [P60903 ...]	0.270408888888889	0.624908861463903	0.640749	9	25.8479311796286	5	6	4	5	5	7	8	6	6	52
Protein S100-A11 [S100A11 ...] [P31949 ...]	1.72169222222222	1.4620006208085	0.101697	9	28.6177766667752	11	12	10	7	13	12	8	9	9	91
Protein S100-A4 [S100A4 ...] [P26447 ...]	-0.394635555555556	0.569191690779809	0.261235	9	28.0799841887214	23	19	25	19	17	19	17	19	15	173
Protein S100-A8 [S100A8 ...] [P05109 ...]	0.0122266666666672	1.1027435538805	0.993174	9	26.4775589259753	4	5	5	4	5	4	5	3	4	39
Protein S100-A9 [S100A9 ...] [P06702 ...]	-1.01190222222222	0.183847043474853	0.000552	9	28.3149592526091	10	10	12	12	12	13	14	11	12	106
Protein SON [SON ...] [P18583-9 ...]	0.02	1.31280662989642	0.989287	9	27.1034611908912	13	13	10	10	15	13	12	7	10	103
Protein SSXT [SS18 ...] [Q15532 ...]	0.0918066666666668	0.306964839883984	0.863307	9	25.6993768990656	5	5	4	4	5	4	6	4	4	41
Prothymosin alpha [PTMA ...] [P06454 ...]	-2.55285222222222	1.2149244972711	0.002245	9	26.3445900318588	1	1	2	1	2	2	1	2	2	14
Proto-oncogene c-Fos [FOS ...] [P01100 ...]	2.4212	0.540612777503455	0.000777	9	29.3040253986215	9	6	8	8	8	9	8	9	9	74
Pumilio homolog 1 [PUM1 ...] [Q5T1Z8 ...]	-1.45664375	1.63484285225512	0.395031	8	23.5898160040835	1	2	1	2	4	2	4	0	1	17
Putative RNA-binding protein 3 [RBM3 ...] [P98179 ...]	1.234	0.15163146589676	0.000782	9	28.5817225438166	13	13	13	20	16	21	13	12	11	132
Pyruvate kinase isozymes M1/M2 [PKM2 ...] [P14618 ...]	-0.78587	0.37356031290141	0.025386	9	29.7734372352549	30	28	34	27	29	28	24	24	22	246
Rab11 family-interacting protein 1 [RAB11FIP1 ...] [Q6WKZ4 ...]	1.34296	1.23935293508923	0.235662	8	22.4144346366559	2	0	1	1	3	1	2	2	1	13
Ran-specific GTPase-activating protein [RANBP1 ...] [P43487 ...]	-0.229514444444444	0.410364496122383	0.576186	9	26.1354780920714	10	11	12	7	11	9	10	12	11	93
Ras GTPase-activating protein-binding protein 1 [G3BP1 ...] [Q13283 ...]	-0.118915555555556	0.584295413085519	0.927298	9	24.0798867531321	2	3	3	2	4	4	1	1	1	21
Ras GTPase-activating protein-binding protein 2 [G3BP2 ...] [Q9UN86 ...]	1.215025	0.497389155864328	0.067834	8	23.2857180448255	0	1	2	2	1	2	1	1	2	12
Regulator of cell cycle RGCC [RGCC ...] [Q9H4X1 ...]	-1.19653333333333	1.19436806669887	0.318293	9	22.8951417750578	1	1	1	2	2	1	1	0	1	10
Regulator of G-protein signaling 1 [RGS1 ...] [Q08116 ...]	0.94894888888889	0.444667285969085	0.170157	9	23.4979619660041	1	1	1	2	2	1	1	3	2	14
Regulator of G-protein signaling 10 [RGS10 ...] [O43665-3 ...]	0.201868888888889	0.704114238395384	0.74918	9	25.9450725073605	7	6	6	10	9	9	10	6	9	72
Regulator of G-protein signaling 14 [RGS14 ...] [O43566 ...]	0.275568888888889	0.732974321317678	0.708043	9	22.2991356711471	1	1	1	2	1	1	1	1	1	10
Rho GDP-dissociation inhibitor 1 [ARHGDIA ...] [P52565 ...]	-0.393336666666667	0.52858892851629	0.617461	9	26.0607031021664	10	9	6	9	7	6	7	9	8	71
Rho GDP-dissociation inhibitor 2 [ARHGDIB ...] [P52566 ...]	0.442488888888889	0.301974906633169	0.169946	9	27.1092640967562	18	17	15	15	15	17	15	18	21	151
RNA-binding motif protein, X chromosome [RBMX ...] [P38159 ...]	1.47017666666667	0.514245904577761	0.001353	9	28.824180142943	28	28	36	45	43	48	32	34	33	327
RNA-binding motif, single-stranded-interacting protein 1 [RBMS1 ...] [B4DN88 ...]	0.966375555555556	1.00638848334169	0.417392	9	23.7930938953732	1	3	2	6	5	7	3	1	2	30
RNA-binding protein 12 [RBM12 ...] [Q9NTZ6 ...]	0.452328888888889	0.281391002585568	0.265304	9	26.4994661091532	10	12	9	9	11	13	10	10	9	93
RNA-binding protein 38 [RBM38 ...] [Q9H0Z9 ...]	-0.44866	1.29903000738051	0.780574	9	24.7954649613185	2	2	2	2	4	3	2	4	2	23
RNA-binding protein 39 [RBM39 ...] [Q14498 ...]	-0.379423333333334	0.572218982580096	0.74918	9	22.9278923971291	3	3	3	5	1	3	3	5	6	32
RNA-binding protein 4 [RBM4 ...] [Q9BWF3 ...]	1.46706888888889	1.49239344759052	0.069083	9	26.8926269189928	9	9	10	8	10	12	12	12	13	95
RNA-binding protein 7 [RBM7 ...] [Q9Y580 ...]	-0.71654	1.22230063285593	0.640995	6	22.3070658524145	0	0	0	1	1	2	1	1	1	7
RNA-binding protein 8A [RBM8A ...] [Q9Y5S9 ...]	0.986726666666667	0.267761180112055	0.023911	9	25.0182914506335	9	6	6	5	4	5	5	5	6	51
RNA-binding protein EWS [EWSR1 ...] [Q01844-5 ...]	0.289503333333333	0.119754212138864	0.518779	9	27.3110698751302	10	10	14	18	20	14	15	13	15	129
RNA-binding protein FUS [FUS ...] [P35637 ...]	-0.289676666666667	0.524958532505188	0.488896	9	29.6085260289584	20	25	25	25	31	29	25	26	23	229
RNA binding motif protein, X-linked-like-1 [RBMXL1 ...] [Q96E39 ...]	-2.115435	0.670313416239	0.130158	6	22.27852588336	2	0	1	0	2	2	1	0	0	8
Rootletin [CROCC ...] [Q5TZA2 ...]	0.789212857142857	0.279076745998557	0.018257	7	24.6406676188299	1	0	2	1	1	0	1	1	1	8
RRP15-like protein [RRP15 ...] [Q9Y3B9 ...]	0.815981428571428	0.902605238599697	0.479149	7	22.7173475955215	3	3	3	0	1	1	2	2	0	15
S-phase kinase-associated protein 1 [SKP1 ...] [P63208 ...]	-1.23064	1.23385772217667	0.272471	9	27.8265593322184	17	12	13	9	11	11	11	12	12	108
SAM and SH3 domain-containing protein 3 [SASH3 ...] [O75995 ...]	-1.22851222222222	0.308933083481592	0.00157	9	25.7083774237471	11	8	9	8	10	10	9	9	10	84
SAM domain-containing protein SAMSN-1 [SAMSN1 ...] [F8WAA1 ...]	0.413845555555556	0.135274449741175	0.069083	9	28.0742191279401	14	15	18	20	17	19	16	14	16	149
SAP domain-containing ribonucleoprotein [SARNP ...] [P82979 ...]	1.22824111111111	0.315585806772281	0.00016	9	27.1839949334189	9	10	10	13	13	11	12	11	8	97
Scaffold attachment factor B1 [SAFB ...] [Q15424 ...]	-0.291232222222223	0.137762890755982	0.352679	9	27.4293593189468	34	32	30	29	30	24	31	35	31	276
Scaffold attachment factor B2 [SAFB2 ...] [Q14151 ...]	-0.488654444444445	0.525814057346109	0.248354	9	26.3084123162365	12	12	12	12	9	12	11	13	10	103
Septin-6 [SEPT6 ...] [F5H1J5 ...]	-0.321813333333334	0.513064441712735	0.660787	9	24.8291144932664	5	4	4	6	3	3	4	4	4	37
Septin-7 [SEPT7 ...] [Q16181 ...]	-0.682515555555555	0.60565933081459	0.305119	9	24.3407164281252	3	3	4	6	6	7	6	5	7	47
Sequestosome-1 [SQSTM1 ...] [Q13501 ...]	0.0889622222222211	0.125025747326078	0.750082	9	28.9194212480093	17	26	21	19	20	19	19	21	19	181
Serglycin [SRGN ...] [P10124 ...]	1.29292111111111	0.207403307739079	0.001692	9	23.7957544622525	2	1	2	2	2	2	1	1	2	15
Serine/arginine-rich splicing factor 1 [SRSF1 ...] [Q07955 ...]	-0.0537077777777779	0.407138836110538	0.957344	9	28.8925155679536	48	52	48	22	23	24	46	43	49	355
Serine/arginine-rich splicing factor 2 [SRSF2 ...] [H0YG49 ...]	0.625821111111111	0.3223880354652	0.079477	9	27.3013272240517	24	23	22	17	11	15	23	16	21	172
Serine/arginine-rich splicing factor 3 [SRSF3 ...] [P84103 ...]	-0.733212222222221	0.296446114318343	0.030549	9	28.3807815717771	22	27	23	22	23	24	24	23	22	210
Serine/arginine-rich splicing factor 5 [SRSF5 ...] [Q13243 ...]	0.348328888888889	1.04990296784327	0.754833	9	26.1619746956316	12	11	9	5	5	4	7	6	6	65
Serine/arginine-rich splicing factor 7 [SRSF7 ...] [Q16629 ...]	-0.290205555555556	0.571928431211264	0.563309	9	27.6320654110231	24	21	18	15	12	16	13	16	14	149
Serine/arginine-rich splicing factor 9 [SRSF9 ...] [Q13242 ...]	0.685034444444444	0.539166232207449	0.34881	9	27.138703153042	16	15	12	16	13	16	15	16	14	133
Serine/arginine repetitive matrix protein 2 [SRRM2 ...] [Q9UQ35 ...]	0.763063333333332	0.147351814715666	0.004199	9	28.5981128878408	36	36	33	26	32	39	34	35	35	306
